,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
525,27D,Oct,326.8934527973812,255.9396251824524,1196.0960706950711,923.44770142266,5118.759115587031,264.8026042157684,72.1292,101.55,101.35,105.2,2018
526,27D,Nov,336.22284881169986,265.78361718058903,1135.9529255094187,866.1962939922273,4895.756503607416,249.5521924546508,72.1292,101.55,101.35,105.2,2018
527,27D,Dec,397.6826930328704,323.6058719776861,1140.811378279716,912.947443291314,3792.6664929044,249.6492405294943,72.1292,101.55,101.35,105.2,2018
528,36J,Jan,311.481539278454,305.0509472555301,610.2090523138522,418.47480001940914,6219.214336254287,284.0105045447124,58.7936,98.7,97.9,97.825,2018
529,36J,Feb,270.1770297996148,262.6949207748968,577.5588536463725,415.36335164018857,5380.33051216459,253.05475425896697,58.7936,98.7,97.9,97.825,2018
530,36J,Mar,324.0180517400826,300.1033712431046,657.125892102774,473.9606286726472,5685.091574593153,282.83690741849455,58.7936,98.7,97.9,97.825,2018
531,36J,Apr,323.01890112284,288.46127662961567,594.81688726102,422.44664891507006,5450.27009742557,279.7073150819137,58.7936,98.7,97.9,97.825,2018
532,36J,May,327.1956439546674,293.83825699536345,629.4430057191624,464.021001776327,5710.553529635879,315.3574538725304,58.7936,98.7,97.9,97.825,2018
533,36J,Jun,282.5564431075888,255.91661595855092,609.2285959113968,453.31601860666143,5202.981276873674,297.3793065911936,58.7936,98.7,97.9,97.825,2018
534,36J,Jul,302.7572996121745,275.6943520759605,665.8399484960252,482.5646338370513,5522.216703858923,312.0237576879116,58.7936,98.7,97.9,97.825,2018
535,36J,Aug,288.159646254599,271.31652232745535,627.4270672998283,446.1977050316924,5112.937462580961,282.4457083764219,58.7936,98.7,97.9,97.825,2018
536,36J,Sep,287.26103909569537,266.2935387212757,621.6593824425271,447.0931218482205,5128.262259837806,288.31369400751106,58.7936,98.7,97.9,97.825,2018
537,36J,Oct,308.5176019128392,274.76641974170803,648.2367542090846,456.6275601292403,6273.897158874435,300.8490720078376,58.7936,98.7,97.9,97.825,2018
538,36J,Nov,324.6778681854314,283.01936194702404,649.212208282956,450.3096191277041,6066.221493495891,296.3247700429979,58.7936,98.7,97.9,97.825,2018
539,36J,Dec,377.9721850711816,342.99353484616324,708.7199091176944,487.4969298208317,5021.124748271921,299.811544113645,58.7936,98.7,97.9,97.825,2018
540,36L,Jan,226.30200581307844,211.7392075081694,1117.7087410857623,911.704776820058,3339.0148537866958,417.113462059462,149.4905,105.75,100.25,104.35,2018
541,36L,Feb,204.4410848849927,188.011947247484,1046.2590090952249,862.1385458888395,2990.7586100789013,374.5840036657848,149.4905,105.75,100.25,104.35,2018
542,36L,Mar,232.58334141634415,208.94304320341428,1165.011858334023,965.8915315206496,3153.999752492633,426.7177512952328,149.4905,105.75,100.25,104.35,2018
