,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year,month,ccg
989,508.6310154832351,397.1781577070604,200.0339280160593,131.58934868018287,3498.8217150352048,3921.02247749728,467.8815313026991,27.7522,89.2,99.6,95.2,2019.0,Jun,00P
990,534.7126803922163,413.3360134593727,215.5236829669242,146.03760585916064,4107.674346538292,4556.46759536181,547.0194937783617,27.7522,89.2,99.6,95.2,2019.0,Jul,00P
991,535.6323674783227,426.9495851770674,205.04956202277907,136.88194608330485,3673.150236737989,4032.869466204481,615.54708956436,27.7522,89.2,99.6,95.2,2019.0,Aug,00P
992,504.5832908827069,383.0799604589624,202.1169235598336,136.17655493309314,4070.9565367790665,4482.707677229193,588.0162338377071,27.7522,89.2,99.6,95.2,2019.0,Sep,00P
993,549.6259296687199,413.52876224987415,217.85046400024004,145.96403745699132,4941.698315809197,5454.0901261881945,568.5593342566456,27.7522,89.2,99.6,95.2,2019.0,Oct,00P
994,731.3439822450829,447.9426820168133,222.82426499396163,136.93099168475104,4374.968470968068,4840.373015472647,391.4574698508191,27.7522,89.2,99.6,95.2,2019.0,Nov,00P
995,697.2935316259462,495.6122114619445,237.73268531592,139.02408485235253,3679.275877227752,4099.278615749382,587.4328389241889,27.7522,89.2,99.6,95.2,2019.0,Dec,00P
996,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228768,4129.34989670253,4665.28936706823,1044.377666282096,14.9084,96.0,99.5,94.6,2019.0,Jan,00Q
997,311.8865409042716,253.46297598788172,247.20171390424923,198.60696575155225,3547.060717447882,4060.932091974994,972.1365136433152,14.9084,96.0,99.5,94.6,2019.0,Feb,00Q
998,317.91688391064827,277.7243172901326,259.44625572563933,208.0370038841394,3700.665396689115,4191.127149794746,1056.3172439698426,14.9084,96.0,99.5,94.6,2019.0,Mar,00Q
999,326.6396914766098,286.83787242033713,261.28459502753054,207.52923260007705,3298.8114083335568,3765.259853505406,1068.458050495023,14.9084,96.0,99.5,94.6,2019.0,Apr,00Q
1000,331.2256293077004,287.38219738545166,263.6845915456703,207.84425804978105,3469.1851573609506,3888.881435968984,1085.2941965603284,14.9084,96.0,99.5,94.6,2019.0,May,00Q
1001,317.4853119740217,265.25149951807805,264.53018617382315,214.65461086377687,3204.837541251912,3617.088352874889,1047.7985565184729,14.9084,96.0,99.5,94.6,2019.0,Jun,00Q
1002,322.04986561005416,257.6387260774038,277.67420855555235,231.56857596268767,3732.9961632368327,4273.161439188645,1130.302379866384,14.9084,96.0,99.5,94.6,2019.0,Jul,00Q
1003,324.52848821905815,265.5528222666236,267.70945617280967,221.39035238705355,3244.412545947251,3632.717125915591,1032.30393603606,14.9084,96.0,99.5,94.6,2019.0,Aug,00Q
1004,310.4207515339272,244.72461628005988,261.819309277686,216.46600719957505,3780.2849400338064,4170.534732097341,1053.5000402457674,14.9084,96.0,99.5,94.6,2019.0,Sep,00Q
1005,333.8597733353085,254.7149234076454,279.1208385811668,233.4483659816452,4459.298113815031,4937.082450162325,1076.4401277132354,14.9084,96.0,99.5,94.6,2019.0,Oct,00Q
1006,391.94702318396673,275.36233574508174,291.4171937988898,246.51363200094835,3920.206058329533,4432.1992970405945,1107.8989026320733,14.9084,96.0,99.5,94.6,2019.0,Nov,00Q
1007,437.9599788957435,313.30372983130206,304.082460398503,255.02346421466328,3429.006466153309,3880.698129913337,1078.9219500415873,14.9084,96.0,99.5,94.6,2019.0,Dec,00Q
1008,347.4504013035805,275.1446057590359,276.7975258895997,223.66185168228765,4974.3608158575125,5439.528871014077,1297.4001723642632,13.924,84.8,98.5,88.5,2019.0,Jan,00R
1009,311.8865409042716,253.4629759878817,247.20171390424923,198.60696575155225,5093.220338983051,5547.112898592359,1205.1134731399025,13.924,84.8,98.5,88.5,2019.0,Feb,00R
1010,317.9168839106483,277.7243172901326,259.44625572563933,208.0370038841394,5226.659006032749,5777.7219189887965,1352.1258259120943,13.924,84.8,98.5,88.5,2019.0,Mar,00R
1011,326.6396914766098,286.837872420337,261.28459502753054,207.52923260007705,4930.838839413962,5453.892559609308,1356.147658718759,13.924,84.8,98.5,88.5,2019.0,Apr,00R
