,ccg,month,year,ae_attendances_attendances,population,gp_appt_available,amb_sys_made,amb_sys_answered,111_111_offered,111_111_answered,People,Lives,Places
886,03Q,Jun,2019,508.5476873863413,36.2955,3741.951481588627,222.14042311413033,144.03131640027974,396.57637195530526,362.15156971496765,103.3021052631579,108.3663157894737,100.18526315789477
887,03Q,Jul,2019,561.6112705681295,36.2955,4108.55340193688,237.75697910468907,158.93226315847417,409.956600837627,365.18719220278683,103.3021052631579,108.3663157894737,100.18526315789477
888,03Q,Aug,2019,550.3275563637957,36.2955,3594.6053918529847,226.49151871425846,149.71789678856595,405.99643856433124,365.6660255118773,103.3021052631579,108.3663157894737,100.18526315789477
889,03Q,Sep,2019,516.6544335137268,36.2955,4046.2867297598877,221.9417757352466,147.76014310269974,381.33200585080095,348.0034006199536,103.3021052631579,108.3663157894737,100.18526315789477
890,03Q,Oct,2019,523.5972042680924,36.2955,4698.351035252304,241.08611770742735,159.4827317987544,413.8655670967433,367.9578000289709,103.3021052631579,108.3663157894737,100.18526315789477
891,03Q,Nov,2019,496.38756819526304,36.2955,4162.416828532463,244.12805528045422,140.18282260214664,472.42176119709535,399.3018068278016,103.3021052631579,108.3663157894737,100.18526315789477
892,03Q,Dec,2019,498.0582152012445,36.2955,3753.550715653456,263.46147126386165,141.36274016587777,527.945344339874,483.05848602544563,103.3021052631579,108.3663157894737,100.18526315789477
893,03R,Jan,2019,617.745465378754,34.5038,6105.269564511736,202.37141890232726,148.96160074365923,498.1462525571656,435.75638045384363,92.1,97.2,98.3
894,03R,Feb,2019,567.0997903131553,34.5038,5490.612628174288,186.2857678965732,136.4252757967555,435.70819596991,380.597192470813,92.1,97.2,98.3
895,03R,Mar,2019,630.5501128642306,34.5038,5682.4755534173055,199.5065886309558,145.37398121418067,463.2576746589668,419.8434546347601,92.1,97.2,98.3
896,03R,Apr,2019,639.0292530335843,34.5038,5308.139972988482,223.2892272329761,145.8239294940619,428.86901078157945,396.98594006874123,92.1,97.2,98.3
897,03R,May,2019,639.8886253480458,34.5038,5535.41928715098,227.98496406875788,148.37762531657933,426.7970779724331,393.64012996559933,92.1,97.2,98.3
898,03R,Jun,2019,627.8287672017692,34.5038,5158.9679977277865,222.14042311413039,144.03131640027974,396.57637195530526,362.1515697149677,92.1,97.2,98.3
899,03R,Jul,2019,683.5733846665063,34.5038,5783.1890980123935,237.75697910468915,158.9322631584742,409.95660083762704,365.18719220278683,92.1,97.2,98.3
900,03R,Aug,2019,634.6178084860152,34.5038,5070.8617601539545,226.4915187142585,149.71789678856598,405.9964385643313,365.6660255118773,92.1,97.2,98.3
901,03R,Sep,2019,634.1308308411536,34.5038,5638.944116300234,221.94177573524664,147.76014310269977,381.33200585080095,348.00340061995365,92.1,97.2,98.3
902,03R,Oct,2019,644.6151730775841,34.5038,6645.702792156227,241.08611770742738,159.48273179875446,413.8655670967433,367.95780002897095,92.1,97.2,98.3
903,03R,Nov,2019,631.6386511292153,34.5038,5961.807105304343,244.12805528045422,140.18282260214667,472.4217611970953,399.3018068278016,92.1,97.2,98.3
904,03R,Dec,2019,650.1724473777687,34.5038,5354.946411699581,263.46147126386165,141.36274016587777,527.945344339874,483.0584860254457,92.1,97.2,98.3
905,04C,Jan,2019,852.9245920309962,35.5218,5165.504000360343,272.53257861913755,216.4167693297014,920.4488511280397,765.0231688709468,92.6,91.6,96.7
906,04C,Feb,2019,789.6705542125626,35.5218,4806.935459351722,237.9109226985501,189.82362705085433,830.5040848155218,686.0575759111307,92.6,91.6,96.7
907,04C,Mar,2019,894.6287105220553,35.5218,5024.801671086488,255.77533806984718,204.2558004739307,875.5468472881442,754.9166990411522,92.6,91.6,96.7
908,04C,Apr,2019,869.3661755592651,35.5218,4687.318773260365,243.71910196750952,195.0722341800428,913.3546160386016,778.5923010658244,92.6,91.6,96.7
909,04C,May,2019,893.2329903583651,35.5218,4868.475133579943,250.46688365298272,200.33281076676644,909.0192501506118,772.2300108665664,92.6,91.6,96.7
910,04C,Jun,2019,837.6274990369532,35.5218,4669.892854528768,251.42444025579928,200.2879253010094,833.3192574700606,697.2338113496501,92.6,91.6,96.7
911,04C,Jul,2019,887.3988800741407,35.5218,5043.635176145353,274.4057987233975,223.40992489464634,889.0033725768402,731.888586727024,92.6,91.6,96.7
912,04C,Aug,2019,897.196835623245,35.5218,4554.780444684673,264.03725613352407,214.6602514364097,909.0192501506118,756.6058026338756,92.6,91.6,96.7
913,04C,Sep,2019,889.2970594967592,35.5218,5148.303295441109,254.07567509984773,206.16792131518005,838.555478607503,685.1004172085874,92.6,91.6,96.7
914,04C,Oct,2019,882.4580306946779,35.5218,5666.238760423177,277.2664990743121,224.38543568376576,872.1967918292429,744.2753464069951,92.6,91.6,96.7
915,04C,Nov,2019,901.4119105175888,35.5218,5213.924970018411,284.54093689133435,228.43111233066583,1036.1242955030432,845.9593826889403,92.6,91.6,96.7
916,04C,Dec,2019,927.7910216113312,35.5218,4605.706918005281,316.12534296236294,247.7528091568744,1272.0639156799486,1051.6077451030071,92.6,91.6,96.7
917,05W,Jan,2019,827.5724290786826,26.4149,4234.390438729656,514.8324947549677,374.36054482073763,1106.4588546615737,1033.621175927223,97.85,99.5,102.1
918,05W,Feb,2019,788.1444736782589,26.4149,3752.503321988726,471.4484885442047,342.7784210012617,1011.7774437911936,906.0416658779704,97.85,99.5,102.1
919,05W,Mar,2019,860.5170113157478,26.4149,3957.690545866159,502.34560173930015,365.5359961890128,1077.4600698847999,996.1044713400391,97.85,99.5,102.1
920,05W,Apr,2019,869.2997203102973,26.4149,3683.7542447633723,497.5818677240007,363.15860637498645,1119.671094723054,1041.3062324672817,97.85,99.5,102.1
921,05W,May,2019,875.7830934736556,26.4149,3758.9012262018787,493.194217973067,360.5215393308028,1022.7560959912777,953.1741554955726,97.85,99.5,102.1
922,05W,Jun,2019,847.9648993192459,26.4149,3625.6052455243066,504.5573353892607,369.605765192685,973.9957372543527,887.1508126095499,97.85,99.5,102.1
923,05W,Jul,2019,908.4638175005842,26.4149,4010.123074476905,535.0112064156394,395.1660635886856,1033.6590333486024,929.0589780767673,97.85,99.5,102.1
924,05W,Aug,2019,867.8673471695553,26.4149,3432.570253909725,499.0280012643595,367.40746312359477,1035.4004747320641,943.4069407796358,97.85,99.5,102.1
925,05W,Sep,2019,856.4083620436196,26.4149,4040.4090115805852,507.2839463059123,372.79352705254706,957.7549034825042,895.1765859420252,97.85,99.5,102.1
926,05W,Oct,2019,879.5524964756082,26.4149,4709.311789936741,541.4762740078315,395.57348820841514,1019.6517874381504,963.6606612177219,97.85,99.5,102.1
927,05W,Nov,2019,884.0757800779513,26.4149,4186.538658105842,546.3922326063266,398.12101138013077,1148.3291627074113,1070.3428746654351,97.85,99.5,102.1
928,05W,Dec,2019,882.9449591773655,26.4149,3644.4582413713474,582.9395641541552,425.9422925559493,1378.6537143808987,1230.7447690508009,97.85,99.5,102.1
929,06H,Jan,2019,349.5267758195403,88.9112,5506.325412321507,242.94373840491286,150.84002720539522,313.5600464283465,253.11771745291932,100.99606837606838,104.34017094017094,99.6842735042735
930,06H,Feb,2019,332.0134594072856,88.9112,5104.666228776578,217.0875896879647,139.06498539969775,299.9284679545434,242.3766634574722,100.99606837606838,104.34017094017094,99.6842735042735
931,06H,Mar,2019,365.143620634183,88.9112,5252.296673534943,234.61015704832485,151.80125510790114,288.9174817120903,236.77556933209766,100.99606837606838,104.34017094017094,99.6842735042735
932,06H,Apr,2019,356.3409359024774,88.9112,4851.301073430569,229.8172454427105,148.79852023814644,291.8192533674048,239.75607122612226,100.99606837606838,104.34017094017094,99.6842735042735
933,06H,May,2019,366.7277374611232,88.9112,4999.268933497692,233.88041751683528,150.8995527865137,306.06942657392995,248.8550373856162,100.99606837606838,104.34017094017094,99.6842735042735
934,06H,Jun,2019,365.60656704679513,88.9112,4704.896570960689,231.62065008548535,151.39780394698698,295.38460846327575,238.82255553855984,100.99606837606838,104.34017094017094,99.6842735042735
935,06H,Jul,2019,397.5878525721232,88.9112,5297.724021270661,253.77518951732472,167.29333875677517,302.1891505232187,237.74282655053582,100.99606837606838,104.34017094017094,99.6842735042735
936,06H,Aug,2019,374.94637686340405,88.9112,4592.053644535222,229.6011896297619,149.77738534987265,293.8549923969084,234.45865087862947,100.99606837606838,104.34017094017094,99.6842735042735
937,06H,Sep,2019,369.9746183820112,88.9112,5135.640954120516,228.70830591298463,149.97359930244838,266.5018580336336,213.0552731264453,100.99606837606838,104.34017094017094,99.6842735042735
938,06H,Oct,2019,369.5921066742931,88.9112,6078.221866311556,245.4768825791773,164.75137597790058,276.32064351847686,217.66661567946446,100.99606837606838,104.34017094017094,99.6842735042735
939,06H,Nov,2019,364.2369427662389,88.9112,5411.646676684152,246.18016629683643,163.45063179790404,322.6927541187162,258.06647531469605,100.99606837606838,104.34017094017094,99.6842735042735
940,06H,Dec,2019,367.41902906374,88.9112,4748.2769324899455,264.3663336541101,174.22476198034997,390.1758158702166,309.06117564491313,100.99606837606838,104.34017094017094,99.6842735042735
941,06K,Jan,2019,268.85304414921814,56.9078,4085.7843740225417,242.94373840491284,150.84002720539522,278.9444583721114,259.65273174970037,105.69147869674184,106.85112781954888,98.962656641604
942,06K,Feb,2019,252.4237191162808,56.9078,3691.743486833088,217.08758968796468,139.06498539969772,265.7398853657615,244.1214752032199,105.69147869674184,106.85112781954888,98.962656641604
943,06K,Mar,2019,282.307943989824,56.9078,3887.2351417556115,234.61015704832482,151.80125510790114,273.15779894019994,257.53210136441527,105.69147869674184,106.85112781954888,98.962656641604
944,06K,Apr,2019,269.7978615632529,56.9078,3578.1386734331672,229.81724544271046,148.7985202381464,272.2992441283436,253.14488627582963,105.69147869674184,106.85112781954888,98.962656641604
945,06K,May,2019,286.7170919219861,56.9078,3800.3577716938626,233.88041751683528,150.89955278651368,271.4578604127245,251.5909020663697,105.69147869674184,106.85112781954888,98.962656641604
946,06K,Jun,2019,279.4909883664982,56.9078,3568.192760922053,231.62065008548535,151.39780394698695,259.92746928949435,240.996335688063,105.69147869674184,106.85112781954888,98.962656641604
947,06K,Jul,2019,301.4317483146382,56.9078,3999.6098953043343,253.7751895173247,167.29333875677517,274.29109129185025,250.23438546363676,105.69147869674184,106.85112781954888,98.962656641604
948,06K,Aug,2019,275.15182690944977,56.9078,3524.9649432942406,229.6011896297619,149.77738534987262,254.32110636807272,237.63938637370487,105.69147869674184,106.85112781954888,98.962656641604
949,06K,Sep,2019,284.6524909061324,56.9078,4036.2832511536203,228.7083059129846,149.97359930244835,238.1115915202258,225.69688894078374,105.69147869674184,106.85112781954888,98.962656641604
950,06K,Oct,2019,291.493668848495,56.9078,4641.103679987629,245.47688257917727,164.75137597790058,258.6138804273542,242.39578003138877,105.69147869674184,106.85112781954888,98.962656641604
951,06K,Nov,2019,286.3846561651961,56.9078,4170.447636352134,246.18016629683643,163.450631797904,286.2679309172456,270.3846668979041,105.69147869674184,106.85112781954888,98.962656641604
